m.missiontype	m.startyear	m.platform	m.missionnumber	serialnumber	nation	catchplatform	station	fixedstation	stationstartdate	stationstarttime	stationstopdate	stationstoptime	stationtype	latitudestart	longitudestart	latitudeend	longitudeend	system	area	location	bottomdepthstart	bottomdepthstop	bottomdepthmean	fishingdepthstart	fishingdepthstop	fishingdepthcount	fishingdepthmax	fishingdepthmin	fishingdepthmean	fishingdepthtemperature	gearno	sweeplength	gear	gearcount	direction	gearflow	vesselspeed	logstart	logstop	distance	gearcondition	samplequality	verticaltrawlopening	verticaltrawlopeningsd	trawldoortype	trawldoorarea	trawldoorweight	trawldoorspread	trawldoorspreadsd	wingspread	wingspreadsd	wirelength	wirediameter	wiredensity	soaktime	tripno	fishabundance	fishdistribution	landingsite	fishingground	vesselcount	dataquality	haulvalidity	flora	vegetationcover	visibility	waterlevel	winddirection	windspeed	clouds	sea	weather	stationcomment
4	2020	LMEL	2	60008	58	LMEL	8		07/02/2020	15:22:35	07/02/2020	15:32:35		60.27733333333333	2.679666666666667	60.26616666666666	2.685	3	49	F2	96.4	95.22					99.19	94.81			1701		3194	1	167.47		4.175999999999476	7452.568	7453.264	0.6959999999999127	1	1	4.38					81.44				282.0																					Sjøtest  Sjøtest 
4	2020	LMEL	2	60009	58	LMEL	9		07/02/2020	16:14:58	07/02/2020	16:30:16		60.286833333333334	2.672	60.303	2.6606666666666667	3	49	F2	94.69	97.17					97.64	94.67			1701		3194	1	341.25		4.050980392158261	7456.085	7457.118	1.0330000000003565	1	1	4.5					76.91				282.0																					CTD 4
4	2020	LMEL	2	60010	58	LMEL	10		10/02/2020	08:37:15	10/02/2020	09:07:20		61.049166666666665	2.61	61.03516666666667	2.6803333333333335	3	51	F2	211.24	226.52					227.39	210.55			1712		3194	1	109.21		4.499501385040362	7696.47	7698.726	2.2559999999994034	1	1	4.06					88.44				550.0																					CTD 5
4	2020	LMEL	2	60011	58	LMEL	11		10/02/2020	12:31:10	10/02/2020	13:01:14		61.094166666666666	2.1536666666666666	61.124833333333335	2.1406666666666667	3	51	F2	139.34	137.09					140.55	136.54			1712		3194	1	334.02		3.8055432372508595	7718.063	7719.97	1.9070000000001528	3	1	4.06					85.28				378.0																					Trål revet
4	2020	LMEL	2	60012	58	LMEL	12		11/02/2020	07:41:26	11/02/2020	08:11:28		61.248	2.0765	61.222	2.1216666666666666	3	51	F2	142.19	141.21					143.33	140.62			1701		3194	1	145.18		4.1553829078799875	7828.063	7830.143	2.0799999999999272	1	1	4.06					85.81				390.0																					CTD 13
4	2020	LMEL	2	60013	58	LMEL	13		11/02/2020	12:15:03	11/02/2020	12:45:20		61.13883333333333	1.4003333333333332	61.147666666666666	1.4648333333333334	3	51	F1	144.17	145.28					145.66	142.46			1701		3194	1	69.92		3.9070996147508987	7858.003	7859.975	1.9720000000006621	1	1	4.25					82.56				390.0																					CTD 14
4	2020	LMEL	2	60014	58	LMEL	14		11/02/2020	14:54:25	11/02/2020	14:59:01		61.32666666666667	1.3041666666666667	61.3315	1.3036666666666665	3	51	F1	155.36	155.98					156.39	154.48			1701		3194	1	359.8		3.847826086957471	7873.113	7873.408	0.29500000000007276	1	1	3.69					76.44				410.0																					Hal avsluttet tidlig grunnet dårlig bunn
4	2020	LMEL	2	60015	58	LMEL	15		11/02/2020	15:46:07	11/02/2020	16:16:13		61.3535	1.303	61.3205	1.3018333333333334	3	51	F1	157.19	155.67					158.16	154.37			1701		3194	1	177.28		4.036544850497614	7877.08	7879.105	2.024999999999636	1	1	4.5					86.56				410.0																					CTD 15
4	2020	LMEL	2	60016	58	LMEL	16		12/02/2020	07:59:20	12/02/2020	08:29:40		61.65833333333333	-0.3686666666666667	61.674166666666665	-0.309	3	52	E9	210.91	211.38					214.17	208.71			1701		3194	1	52.15		4.01538461538591	7980.601	7982.631	2.030000000000655	1	1	4.0					90.63				526.0																					CTD 20
4	2020	LMEL	2	60017	58	LMEL	17		12/02/2020	12:27:30	12/02/2020	12:57:34		61.68816666666667	0.6285000000000001	61.687	0.5645	3	52	F0	210.3	210.86					213.89	209.6			1701		3194	1	281.19		3.7796008869184248	8013.428	8015.322	1.8940000000002328	1	1	4.0					92.095				526.0																					CTD 21
