"Ship:","4174","","Survey:","2020102","","Date:","09.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","7581.168","6103.605270 N","00525.986828 E","239.08","277.07","1.2","6.8","11.5","161","7.2","991.7","46","","","","","","","","","","","","","",""
"  -->","00:01:00","","","7581.190","6103.625917 N","00526.001457 E","314.28","275.27","1.5","6.8","18.1","156","7.2","991.7","46","","","","","","","","","","","","","",""
"  -->","00:02:00","","","7581.213","6103.648306 N","00526.015187 E","249.95","278.02","1.2","6.8","9.8","160","7.3","991.7","46","","","","","","","","","","","","","166.88",""
"  -->","00:03:00","","","7581.234","6103.668055 N","00526.030014 E","222.36","283.33","1.0","6.8","10.2","154","7.2","991.7","45","","","","","","","","","","","","","166.88",""
"  -->","00:04:00","","","7581.257","6103.689662 N","00526.038080 E","260.32","274.38","1.7","6.8","17.0","203","7.3","991.4","46","","","","","","","","","","","","","",""
"  -->","00:05:00","","","7581.279","6103.711014 N","00526.047012 E","238.73","283.40","1.0","6.8","11.8","184","7.2","991.3","47","","","","","","","","","","","","","",""
"  -->","00:06:00","","","7581.285","6103.723225 N","00526.053204 E","219.70","278.18","1.0","6.9","10.4","165","7.2","991.1","47","","","","","","","","","","","","","",""
"  -->","00:07:00","","","7581.310","6103.747769 N","00526.043760 E","221.67","254.47","1.6","6.8","21.4","167","7.2","991.0","47","","","","","","","","","","","","","",""
"  -->","00:08:00","","","7581.337","6103.771055 N","00526.019752 E","240.88","249.26","1.6","6.8","13.2","177","7.2","991.2","48","","","","","","","","","","","","","",""
"  -->","00:09:00","","","7581.357","6103.778033 N","00525.988386 E","0.00","226.92","1.1","6.9","12.4","173","7.1","991.4","47","","","","","","","","","","","","","",""
"  -->","00:10:00","","","7581.386","6103.781939 N","00525.929590 E","223.06","211.31","1.9","6.9","15.6","165","7.2","990.6","47","","","","","","","","","","","","","",""
"  -->","00:11:00","","","7581.412","6103.777105 N","00525.890313 E","0.00","180.09","1.4","6.8","14.1","181","7.3","991.2","46","","","","","","","","","","","","","",""
"  -->","00:12:00","","","7581.438","6103.750635 N","00525.865477 E","0.00","189.27","2.1","6.8","20.6","173","7.3","990.2","46","","","","","","","","","","","","","",""
"  -->","00:13:00","","","7581.476","6103.716006 N","00525.836328 E","0.00","178.43","2.4","6.8","21.8","170","7.3","990.2","45","","","","","","","","","","","","","",""
