Long;Lat;Row;Column;Square;NOR_Squares
-4,5;55,25;39;E5;39E5;0
-3,5;55,25;39;E6;39E6;0
-2,5;55,25;39;E7;39E7;0
-1,5;55,25;39;E8;39E8;0
-0,5;55,25;39;E9;39E9;0
0,5;55,25;39;F0;39F0;0
1,5;55,25;39;F1;39F1;0
2,5;55,25;39;F2;39F2;0
3,5;55,25;39;F3;39F3;0
4,5;55,25;39;F4;39F4;0
5,5;55,25;39;F5;39F5;0
6,5;55,25;39;F6;39F6;0
7,5;55,25;39;F7;39F7;0
8,5;55,25;39;F8;39F8;0
9,5;55,25;39;F9;39F9;0
10,5;55,25;39;G0;39G0;0
11,5;55,25;39;G1;39G1;0
12,5;55,25;39;G2;39G2;0
13,5;55,25;39;G3;39G3;0
14,5;55,25;39;G4;39G4;0
15,5;55,25;39;G5;39G5;0
-4,5;55,75;40;E5;40E5;0
-3,5;55,75;40;E6;40E6;0
-2,5;55,75;40;E7;40E7;0
-1,5;55,75;40;E8;40E8;0
-0,5;55,75;40;E9;40E9;0
0,5;55,75;40;F0;40F0;0
1,5;55,75;40;F1;40F1;0
2,5;55,75;40;F2;40F2;0
3,5;55,75;40;F3;40F3;0
4,5;55,75;40;F4;40F4;0
5,5;55,75;40;F5;40F5;0
6,5;55,75;40;F6;40F6;0
7,5;55,75;40;F7;40F7;0
8,5;55,75;40;F8;40F8;0
9,5;55,75;40;F9;40F9;0
10,5;55,75;40;G0;40G0;0
11,5;55,75;40;G1;40G1;0
12,5;55,75;40;G2;40G2;0
13,5;55,75;40;G3;40G3;0
14,5;55,75;40;G4;40G4;0
15,5;55,75;40;G5;40G5;0
-4,5;56,25;41;E5;41E5;0
-3,5;56,25;41;E6;41E6;0
-2,5;56,25;41;E7;41E7;0
-1,5;56,25;41;E8;41E8;0
-0,5;56,25;41;E9;41E9;0
0,5;56,25;41;F0;41F0;0
1,5;56,25;41;F1;41F1;0
2,5;56,25;41;F2;41F2;0
3,5;56,25;41;F3;41F3;0
4,5;56,25;41;F4;41F4;0
5,5;56,25;41;F5;41F5;0
6,5;56,25;41;F6;41F6;0
7,5;56,25;41;F7;41F7;0
8,5;56,25;41;F8;41F8;0
9,5;56,25;41;F9;41F9;0
10,5;56,25;41;G0;41G0;0
11,5;56,25;41;G1;41G1;0
12,5;56,25;41;G2;41G2;0
13,5;56,25;41;G3;41G3;0
14,5;56,25;41;G4;41G4;0
15,5;56,25;41;G5;41G5;0
-4,5;56,75;42;E5;42E5;0
-3,5;56,75;42;E6;42E6;0
-2,5;56,75;42;E7;42E7;0
-1,5;56,75;42;E8;42E8;0
-0,5;56,75;42;E9;42E9;0
0,5;56,75;42;F0;42F0;0
1,5;56,75;42;F1;42F1;1
2,5;56,75;42;F2;42F2;1
3,5;56,75;42;F3;42F3;0
4,5;56,75;42;F4;42F4;0
5,5;56,75;42;F5;42F5;0
6,5;56,75;42;F6;42F6;0
7,5;56,75;42;F7;42F7;0
8,5;56,75;42;F8;42F8;0
9,5;56,75;42;F9;42F9;0
10,5;56,75;42;G0;42G0;0
11,5;56,75;42;G1;42G1;0
12,5;56,75;42;G2;42G2;0
13,5;56,75;42;G3;42G3;0
14,5;56,75;42;G4;42G4;0
15,5;56,75;42;G5;42G5;0
-4,5;57,25;43;E5;43E5;0
-3,5;57,25;43;E6;43E6;0
-2,5;57,25;43;E7;43E7;0
-1,5;57,25;43;E8;43E8;0
-0,5;57,25;43;E9;43E9;0
0,5;57,25;43;F0;43F0;0
1,5;57,25;43;F1;43F1;1
2,5;57,25;43;F2;43F2;1
3,5;57,25;43;F3;43F3;0
4,5;57,25;43;F4;43F4;0
5,5;57,25;43;F5;43F5;0
6,5;57,25;43;F6;43F6;0
7,5;57,25;43;F7;43F7;0
8,5;57,25;43;F8;43F8;0
9,5;57,25;43;F9;43F9;0
10,5;57,25;43;G0;43G0;0
11,5;57,25;43;G1;43G1;0
12,5;57,25;43;G2;43G2;0
13,5;57,25;43;G3;43G3;0
14,5;57,25;43;G4;43G4;0
15,5;57,25;43;G5;43G5;0
-4,5;57,75;44;E5;44E5;0
-3,5;57,75;44;E6;44E6;0
-2,5;57,75;44;E7;44E7;0
-1,5;57,75;44;E8;44E8;0
-0,5;57,75;44;E9;44E9;0
0,5;57,75;44;F0;44F0;0
1,5;57,75;44;F1;44F1;0
2,5;57,75;44;F2;44F2;2
3,5;57,75;44;F3;44F3;1
4,5;57,75;44;F4;44F4;1
5,5;57,75;44;F5;44F5;1
6,5;57,75;44;F6;44F6;1
7,5;57,75;44;F7;44F7;0
8,5;57,75;44;F8;44F8;0
9,5;57,75;44;F9;44F9;0
10,5;57,75;44;G0;44G0;0
11,5;57,75;44;G1;44G1;0
12,5;57,75;44;G2;44G2;0
13,5;57,75;44;G3;44G3;0
14,5;57,75;44;G4;44G4;0
15,5;57,75;44;G5;44G5;0
