m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	commonname	catchcategory	catchpartnumber	aphia	scientificname	identification	foreignobject	sampletype	group	conservation	catchproducttype	raisingfactor	catchweight	catchvolume	catchcount	abundancecategory	sampleproducttype	lengthmeasurement	lengthsampleweight	lengthsamplevolume	lengthsamplecount	specimensamplecount	agesamplecount	agingstructure	parasite	stomach	intestine	tissuesample	samplerecipient	catchcomment
4	2020	LMEL	2	60009	1	knurr	KNURR	1	150637	Eutrigla gurnardus			10		1	1	1.0	5.82		21		1	E	5.82		21									
4	2020	LMEL	2	60009	2	tverrstripet knurr	TVERRSTRIPET KNURR	1	127259	Chelidonichthys cuculus			10		1	1	1.0	0.041		1		1	E	0.041		1									
4	2020	LMEL	2	60009	3	vanlig fløyfisk	VANLIG FLØYFISK	1	126792	Callionymus lyra			10		1	1	1.0	0.007		1		1	E	0.007		1									
4	2020	LMEL	2	60009	4	strømsild	STRØMSILD	1	126716	Argentina sphyraena			10		1	1	1.0	0.109		2		1	E	0.109		2									
4	2020	LMEL	2	60009	5	sandflyndre	SANDFLYNDRE	1	127139	Limanda limanda			10		1	1	1.0	0.769		23		1	E	0.769		23									
4	2020	LMEL	2	60009	6	sypike	SYPIKE	1	126446	Trisopterus minutus			10		1	1	1.0	0.012		1		1	E	0.012		1									
4	2020	LMEL	2	60009	7	kveite	KVEITE	1	127138	Hippoglossus hippoglossus			10		1	1	1.0	6.68		1		1	E	6.68		1									
4	2020	LMEL	2	60009	8	breiflabb	BREIFLABB	1	126555	Lophius piscatorius			10		1	1	1.0	7.265		2		1	E	7.265		2									
4	2020	LMEL	2	60009	9	lomre	LOMRE	1	127140	Microstomus kitt			10		1	1	1.0	0.206		2		1	E	0.206		2									
4	2020	LMEL	2	60009	11	hvitting	HVITTING	1	126438	Merlangius merlangus			21		1	1	1.0	1.32		6		1	E	1.32		6	5		2						
4	2020	LMEL	2	60009	13	Loligo	LOLIGO	1	138139	Loligo			91		1	1	1.0	0.419		13		1	B	0.419		13								1	
4	2020	LMEL	2	60009	14	Todaropsis eblanae	TODAROPSIS EBLANAE	1	140625	Todaropsis eblanae			91		1	1	1.0	0.075		3		1	B	0.075		3								1	
4	2020	LMEL	2	60009	15	anemoneeremittkreps	ANEMONEEREMITTKREPS	1	107239	Pagurus prideaux			90		1	1	1.0	0.055		10															
4	2020	LMEL	2	60009	16	Bernakeremittkreps	BERNAKEREMITTKREPS	1	107232	Pagurus bernhardus			90		1	1	1.0	0.002		7															
4	2020	LMEL	2	60009	17	sjøpiggsvin	SJØPIGGSVIN	1	123082	Echinoidea			90		1	1	1.0	0.038		6															
4	2020	LMEL	2	60009	18	Colus	COLUS	1	137704	Colus			90		1	1	1.0	0.067		4															
4	2020	LMEL	2	60009	19	Stor Havsnegl	STOR HAVSNEGL	1	138920	Neptunea Antiqua			90		1	1	1.0	0.972		6															
4	2020	LMEL	2	60009	20	sadelskjell	SADELSKJELL	1	214	Anomiidae			90		1	1	1.0	0.001		7															
4	2020	LMEL	2	60009	21	Hormathia	HORMATHIA	1	100757	Hormathia			90		1	1	1.0	0.633		7															
4	2020	LMEL	2	60009	22	Adamsia	ADAMSIA	1	100751	Adamsia			90		1	1	1.0	0.022		9															
4	2020	LMEL	2	60009	23	sekkedyr	SEKKEDYR	1	1839	Ascidiacea			90		1	1	1.0	0.052		9															
4	2020	LMEL	2	60009	24	Suberites	SUBERITES	1	132072	Suberites			90		1	1	1.0	0.03		6															
4	2020	LMEL	2	60009	25	hyse	HYSE	1	126437	Melanogrammus aeglefinus			21		1	1	1.0	11.98		57		1	E	11.98		57	16		2						
4	2020	LMEL	2	60009	27	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			21		1	1	1.0	0.705		118		1	E	0.595		100	4	1	2						
